generation,hypervolume,mean_speed,mean_safety,mean_smoothness,crash_rate,pareto_size,elapsed_s
86,35405.829602,13.3416,-4.8400,-9.8084,0.4840,25,8421.3
87,35405.829602,13.3416,-4.8400,-9.8084,0.4840,25,8526.7
88,35405.829602,13.3416,-4.8400,-9.8084,0.4840,25,8626.8
89,35411.440013,13.4227,-4.9600,-8.4383,0.4960,25,8719.0
90,35411.440013,13.4227,-4.9600,-8.4383,0.4960,25,8818.6
91,35411.440992,13.2405,-4.9200,-7.2000,0.4920,26,8914.5
92,35411.440992,13.1154,-4.8000,-7.2147,0.4800,26,9012.2
93,35411.636033,12.9870,-4.7200,-7.2065,0.4720,27,9115.7
94,35434.666744,12.9683,-4.6400,-7.9950,0.4640,28,9203.3
95,35434.666744,12.9683,-4.6400,-7.9950,0.4640,28,9298.9
96,35434.822311,12.6854,-4.5600,-7.9896,0.4560,29,9396.5
97,35434.822311,12.6854,-4.5600,-7.9896,0.4560,29,9493.6
98,35434.822311,12.6267,-4.4800,-8.0158,0.4480,29,9578.4
99,35434.822311,12.6267,-4.4800,-8.0158,0.4480,29,9682.6
100,35434.822311,12.4546,-4.4800,-6.6452,0.4480,29,9773.8
101,35434.822311,12.6397,-4.5600,-6.6481,0.4560,29,9876.5
102,35435.893218,12.6709,-4.5200,-6.6467,0.4520,29,9974.9
103,35435.893218,12.6762,-4.4800,-6.6457,0.4480,29,10064.3
104,35435.893218,12.6762,-4.4800,-6.6457,0.4480,29,10158.4
105,35435.893218,12.6762,-4.4800,-6.6457,0.4480,29,10256.9
106,35435.893218,12.6858,-4.4800,-6.6387,0.4480,29,10354.5
107,35435.893218,12.4629,-4.4000,-6.1301,0.4400,30,10451.1
108,35436.474813,12.4415,-4.4000,-6.1272,0.4400,30,10549.9
109,35436.474813,12.4415,-4.4000,-6.1272,0.4400,30,10646.1
110,35436.642808,12.4323,-4.4000,-6.1114,0.4400,31,10740.5
111,35436.642808,12.5653,-4.4800,-6.1500,0.4480,31,10834.4
112,35436.647470,12.7410,-4.6000,-6.1107,0.4600,32,10928.2
113,35436.647470,12.3468,-4.4000,-6.1125,0.4400,32,11033.4
114,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11129.0
115,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11220.0
116,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11300.2
117,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11407.2
118,35475.202694,12.3011,-4.2400,-4.7451,0.4240,32,11491.4
119,35475.202694,12.3180,-4.2400,-4.7451,0.4240,32,11602.4
120,35475.202694,12.3180,-4.2400,-4.7451,0.4240,32,11704.2
121,35475.207641,12.4573,-4.2800,-4.7454,0.4280,33,11800.1
122,35475.207641,12.4573,-4.2800,-4.7454,0.4280,33,11897.1
123,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12004.5
124,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12110.5
125,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12198.8
126,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12287.3
127,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12391.1
128,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12486.1
129,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12595.5
130,35477.261943,11.9450,-3.9600,-4.7834,0.3960,30,12699.9
131,35477.261943,11.9450,-3.9600,-4.7834,0.3960,30,12807.3
132,35477.261943,11.9450,-3.9600,-4.7834,0.3960,30,12922.3
133,35695.001563,12.0710,-4.0000,-4.7695,0.4000,28,13023.3
134,35695.001563,12.1650,-4.0000,-4.7695,0.4000,28,13109.1
135,35695.001563,11.9975,-3.9200,-4.7909,0.3920,28,13217.2
136,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13326.5
137,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13433.7
138,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13527.1
139,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13613.2
140,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13701.1
141,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13808.0
142,35695.001563,12.0042,-3.9200,-4.7909,0.3920,28,13922.9
143,35695.001563,12.0042,-3.9200,-4.7909,0.3920,28,14016.8
144,35695.001563,12.1293,-3.9600,-6.0996,0.3960,29,14109.1
145,35695.001563,12.1312,-3.9600,-6.1005,0.3960,29,14200.6
146,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14309.4
147,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14400.5
148,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14491.2
149,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14591.8
150,35695.001563,11.9373,-3.8000,-6.9468,0.3800,29,14694.5
151,35695.001563,11.9006,-3.8000,-6.9356,0.3800,29,14788.9
152,35695.001563,11.9006,-3.8000,-6.9356,0.3800,29,14880.4
153,35695.001563,12.2402,-4.0000,-7.0218,0.4000,27,14981.0
154,35695.001563,12.6482,-4.1600,-6.9526,0.4160,27,15081.1
155,35695.001563,12.4738,-3.9600,-7.6797,0.3960,27,15182.3
156,35695.001563,12.4738,-3.9600,-7.6797,0.3960,27,15285.8
157,35695.001563,12.5437,-3.9600,-8.2066,0.3960,27,15386.8
158,35695.001563,12.5437,-3.9600,-8.2066,0.3960,27,15489.3
159,35695.001563,12.3886,-3.8800,-8.8010,0.3880,27,15578.6
160,35695.001563,12.3886,-3.8800,-8.8010,0.3880,27,15671.1
161,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,15765.7
